ZIP,YEAR,AMPUTATIONS
40803,2018,1
40806,2016,1
40806,2017,1
40806,2020,2
40807,2020,2
40810,2016,4
40810,2017,4
40810,2018,2
40810,2019,1
40813,2020,1
40815,2017,1
40815,2019,1
40818,2020,1
40819,2016,1
40819,2017,1
40819,2020,1
40820,2018,1
40820,2020,2
40823,2017,3
40823,2018,2
40823,2019,1
40823,2020,2
40824,2019,1
40826,2018,2
40826,2020,2
40827,2016,1
40827,2018,1
40827,2019,1
40827,2020,2
40828,2016,2
40828,2017,2
40828,2018,1
40828,2019,6
40828,2020,3
40829,2020,1
40831,2016,3
40831,2017,2
40831,2018,3
40831,2019,6
40831,2020,4
40843,2020,1
40844,2017,1
40844,2019,1
40845,2017,1
40849,2020,2
40854,2017,3
40855,2016,1
40856,2017,1
40856,2018,2
40863,2016,1
40865,2017,1
40868,2017,1
40868,2018,1
40868,2019,1
40870,2018,1
40870,2019,1
40873,2017,1
40873,2018,2
40873,2019,1
40873,2020,2
40902,2016,4
40902,2017,3
40902,2018,4
40902,2020,1
40903,2016,1
40903,2018,2
40903,2019,1
40903,2020,2
40906,2016,6
40906,2017,7
40906,2018,3
40906,2019,7
40906,2020,14
40914,2019,1
40914,2020,1
40915,2016,2
40915,2017,1
40915,2018,2
40915,2019,1
40923,2019,1
40923,2020,1
40927,2016,1
40927,2019,1
40935,2016,3
40935,2017,2
40935,2019,1
40935,2020,4
40939,2017,2
40939,2019,1
40939,2020,2
40940,2020,2
40941,2016,2
40941,2020,3
40943,2016,1
40943,2017,3
40943,2018,4
40944,2016,1
40944,2017,1
40944,2018,3
40944,2019,1
40944,2020,1
40949,2019,1
40949,2020,1
40953,2020,1
40955,2018,1
40955,2020,1
40958,2016,4
40958,2019,1
40962,2016,12
40962,2017,15
40962,2018,5
40962,2019,9
40962,2020,9
40965,2016,10
40965,2017,13
40965,2018,12
40965,2019,11
40965,2020,8
40972,2016,1
40972,2020,1
40977,2016,6
40977,2017,13
40977,2018,6
40977,2019,8
40977,2020,11
40979,2017,1
40979,2019,1
40982,2018,1
40982,2020,1
40995,2016,1
40995,2018,2
40997,2017,3
40997,2018,1
40997,2019,1
41001,2016,8
41001,2017,3
41001,2018,5
41001,2019,1
41001,2020,6
41002,2016,1
41002,2017,2
41002,2018,2
41002,2019,1
41002,2020,4
41003,2016,1
41003,2020,3
41004,2016,2
41004,2017,2
41004,2018,4
41004,2019,6
41004,2020,2
41005,2016,11
41005,2017,10
41005,2018,11
41005,2019,9
41005,2020,6
41006,2016,8
41006,2017,1
41006,2018,1
41006,2019,1
41006,2020,4
41007,2016,1
41007,2017,4
41007,2018,3
41007,2019,1
41007,2020,5
41008,2016,2
41008,2017,4
41008,2018,3
41008,2019,1
41008,2020,3
41010,2017,1
41010,2019,1
41010,2020,3
41011,2016,12
41011,2017,12
41011,2018,17
41011,2019,16
41011,2020,22
41014,2016,7
41014,2017,8
41014,2018,4
41014,2019,9
41014,2020,10
41015,2016,11
41015,2017,14
41015,2018,17
41015,2019,15
41015,2020,9
41016,2016,7
41016,2017,3
41016,2018,4
41016,2019,1
41016,2020,2
41017,2016,13
41017,2017,14
41017,2018,17
41017,2019,14
41017,2020,14
41018,2016,16
41018,2017,23
41018,2018,18
41018,2019,26
41018,2020,15
41022,2016,1
41022,2017,3
41030,2016,10
41030,2017,5
41030,2018,3
41030,2019,1
41030,2020,8
41031,2016,6
41031,2017,9
41031,2018,15
41031,2019,9
41031,2020,13
41033,2017,2
41033,2018,1
41033,2019,1
41033,2020,1
41034,2016,1
41034,2017,1
41035,2016,10
41035,2017,7
41035,2018,9
41035,2019,1
41035,2020,7
41039,2016,5
41039,2017,5
41039,2018,3
41039,2019,1
41039,2020,3
41040,2016,7
41040,2017,7
41040,2018,7
41040,2019,1
41040,2020,6
41041,2016,2
41041,2017,4
41041,2018,7
41041,2019,1
41041,2020,4
41042,2016,24
41042,2017,33
41042,2018,32
41042,2019,38
41042,2020,35
41043,2016,3
41043,2017,2
41043,2020,2
41044,2016,1
41044,2017,1
41044,2018,1
41045,2017,1
41045,2020,1
41046,2016,1
41046,2017,1
41046,2019,1
41046,2020,1
41048,2016,6
41048,2018,1
41048,2019,7
41048,2020,4
41049,2016,2
41049,2017,3
41049,2018,1
41049,2019,1
41049,2020,1
41051,2016,9
41051,2017,12
41051,2018,11
41051,2019,9
41051,2020,7
41055,2016,2
41055,2017,2
41055,2018,1
41055,2020,1
41056,2016,6
41056,2017,5
41056,2018,7
41056,2019,8
41056,2020,5
41059,2016,6
41059,2019,8
41059,2020,1
41063,2017,1
41063,2018,1
41063,2019,1
41063,2020,2
41064,2016,1
41064,2017,2
41064,2018,1
41064,2020,2
41071,2016,16
41071,2017,17
41071,2018,11
41071,2019,10
41071,2020,6
41072,2019,1
41073,2016,3
41073,2017,6
41073,2018,2
41073,2020,1
41074,2016,3
41074,2017,8
41074,2018,6
41074,2019,9
41074,2020,13
41075,2016,4
41075,2017,3
41075,2018,4
41075,2019,1
41075,2020,6
41076,2016,1
41076,2017,7
41076,2018,3
41076,2019,1
41076,2020,5
41080,2016,2
41080,2017,2
41080,2019,1
41083,2016,2
41083,2017,1
41083,2018,2
41083,2019,1
41083,2020,2
41085,2017,1
41085,2019,1
41086,2016,1
41086,2018,1
41086,2019,1
41091,2016,8
41091,2017,3
41091,2018,4
41091,2019,1
41091,2020,6
41092,2016,2
41092,2017,2
41092,2018,3
41092,2019,1
41092,2020,2
41093,2016,1
41093,2017,2
41093,2018,1
41093,2020,1
41094,2016,5
41094,2017,6
41094,2018,8
41094,2019,1
41094,2020,9
41095,2016,3
41095,2017,1
41095,2018,6
41095,2019,1
41095,2020,1
41097,2016,5
41097,2017,5
41097,2018,7
41097,2019,7
41097,2020,5
41098,2016,1
41098,2018,1
41098,2019,1
41101,2016,10
41101,2017,10
41101,2018,21
41101,2019,20
41101,2020,27
41102,2016,8
41102,2017,9
41102,2018,15
41102,2019,9
41102,2020,13
41105,2016,2
41105,2017,1
41105,2018,1
41105,2019,1
41105,2020,1
41121,2016,1
41121,2017,2
41121,2018,1
41121,2019,1
41121,2020,2
41124,2016,1
41129,2016,6
41129,2017,9
41129,2018,9
41129,2019,14
41129,2020,12
41132,2017,1
41132,2018,1
41132,2019,1
41139,2016,7
41139,2017,7
41139,2018,7
41139,2019,1
41139,2020,6
41141,2019,1
41143,2016,3
41143,2017,3
41143,2018,6
41143,2019,11
41143,2020,21
41144,2016,14
41144,2017,4
41144,2018,9
41144,2019,14
41144,2020,10
41146,2016,1
41149,2018,1
41164,2016,12
41164,2017,5
41164,2018,8
41164,2019,11
41164,2020,6
41168,2016,1
41168,2019,1
41168,2020,2
41169,2016,3
41169,2017,1
41169,2018,3
41169,2019,1
41169,2020,9
41171,2016,4
41171,2017,2
41171,2018,3
41171,2019,1
41171,2020,5
41174,2018,1
41175,2016,3
41175,2017,1
41175,2018,3
41175,2019,1
41179,2016,3
41179,2017,2
41179,2018,1
41179,2019,1
41179,2020,3
41180,2017,2
41180,2018,1
41180,2019,1
41181,2016,1
41181,2017,1
41183,2016,4
41183,2017,1
41183,2018,2
41183,2019,1
41189,2019,1
41189,2020,3
41204,2017,1
41204,2018,1
41204,2019,1
41214,2019,1
41216,2016,1
41216,2018,1
41216,2019,1
41219,2016,3
41219,2017,3
41219,2019,1
41222,2017,1
41222,2018,5
41222,2019,1
41222,2020,1
41224,2016,6
41224,2017,3
41224,2018,2
41224,2019,1
41224,2020,7
41230,2016,2
41230,2017,3
41230,2018,4
41230,2019,11
41230,2020,11
41231,2018,1
41232,2019,1
41234,2018,2
41234,2019,1
41234,2020,2
41238,2016,1
41238,2018,2
41238,2019,1
41240,2016,1
41240,2017,4
41240,2018,7
41240,2019,1
41240,2020,8
41250,2016,3
41250,2019,1
41250,2020,4
41254,2020,1
41255,2016,3
41255,2018,1
41255,2019,1
41256,2018,1
41256,2019,1
41256,2020,1
41260,2016,1
41260,2018,2
41260,2020,1
41262,2020,1
41263,2016,1
41264,2017,1
41265,2016,1
41265,2017,1
41265,2020,3
41267,2016,2
41267,2017,1
41267,2018,2
41268,2016,2
41268,2017,1
41268,2019,1
41268,2020,2
41301,2016,6
41301,2017,2
41301,2018,7
41301,2019,1
41301,2020,7
41311,2016,4
41311,2017,3
41311,2018,1
41311,2019,6
41311,2020,8
41314,2017,3
41314,2018,2
41314,2019,1
41314,2020,4
41317,2017,2
41332,2016,1
41332,2020,4
41339,2016,8
41339,2017,8
41339,2018,11
41339,2019,8
41339,2020,21
41348,2016,1
41348,2017,2
41348,2018,2
41348,2019,1
41348,2020,1
41352,2019,1
41352,2020,1
41360,2017,1
41360,2019,1
41364,2019,1
41365,2017,1
41365,2020,1
41367,2016,2
41368,2019,1
41368,2020,1
41385,2020,1
41390,2016,1
41390,2020,1
41425,2016,2
41425,2018,2
41464,2018,1
41465,2016,7
41465,2017,4
41465,2018,5
41465,2019,8
41465,2020,3
41472,2016,4
41472,2017,4
41472,2018,4
41472,2019,11
41472,2020,10
41501,2016,19
41501,2017,15
41501,2018,28
41501,2019,19
41501,2020,19
41502,2016,2
41502,2017,5
41502,2018,2
41502,2019,1
41502,2020,3
41503,2018,2
41503,2019,1
41512,2017,1
41513,2018,1
41514,2017,2
41514,2018,3
41514,2019,1
41514,2020,1
