ZIP,YEAR,AMPUTATIONS
24983,2018,*
25239,2020,*
25239,2019,*
25239,2018,*
25239,2016,*
25917,2020,*
25917,2018,*
25917,2016,*
25825,2020,*
25825,2019,*
25825,2018,*
25825,2016,*
26833,2019,*
26833,2017,*
25063,2019,*
26519,2020,*
26519,2017,*
25823,2017,11
24918,2018,*
24918,2017,*
25823,2016,*
26033,2020,*
26033,2019,*
26033,2017,*
25515,2020,*
25515,2019,*
25515,2017,*
25082,2019,*
25082,2018,*
25082,2016,*
26147,2020,*
26149,2018,*
26149,2017,*
25442,2020,*
25442,2018,*
25827,2020,*
25827,2018,*
25827,2017,*
25827,2016,*
26040,2020,*
26040,2019,*
26040,2018,*
26040,2017,*
26040,2016,*
25033,2018,*
25033,2016,*
26060,2020,*
26060,2019,*
26060,2018,*
26060,2017,*
26060,2016,*
25555,2020,*
25555,2019,*
25555,2018,*
25555,2017,*
25555,2016,*
25241,2020,*
25241,2019,*
25241,2018,*
25241,2017,*
25241,2016,*
26679,2020,*
26679,2017,*
26335,2020,*
26335,2019,*
26335,2018,*
26335,2017,*
25882,2018,*
25882,2017,*
25882,2016,*
25831,2020,*
25831,2019,*
25831,2018,*
25831,2017,*
25136,2020,*
25136,2017,*
26050,2019,*
26050,2017,*
25275,2019,*
25275,2017,*
25275,2016,*
25557,2020,*
25557,2019,*
25557,2018,*
25557,2017,*
25557,2016,*
26283,2020,*
26283,2019,*
26283,2018,*
26283,2017,*
26283,2016,*
26035,2019,*
26035,2018,*
26035,2017,*
25812,2019,*
25812,2018,*
25812,2017,*
25812,2016,*
24892,2020,*
24892,2019,*
24892,2018,*
25286,2020,*
25286,2019,*
25286,2018,*
25286,2017,*
25286,2016,*
26448,2019,*
26448,2018,*
26448,2017,*
26448,2016,*
24938,2019,*
24938,2018,*
24938,2017,*
25265,2020,*
25559,2017,17
25559,2020,*
25559,2018,*
25559,2016,*
25635,2016,10
25635,2020,*
25635,2018,*
24951,2017,*
25621,2020,*
25621,2019,*
25621,2018,*
25621,2017,*
25621,2016,*
26260,2018,*
26280,2020,*
26280,2019,*
26280,2018,*
26280,2017,*
26031,2020,*
26031,2019,*
26031,2016,*
24839,2016,*
25070,2017,*
25606,2016,12
25606,2019,*
25606,2017,*
25678,2020,*
25678,2019,*
25678,2018,*
25520,2019,*
25520,2018,*
25520,2017,*
25520,2016,*
25984,2020,*
25984,2019,*
25984,2018,*
25984,2016,*
25260,2016,*
26591,2020,*
26591,2019,*
26133,2019,*
25517,2020,*
25517,2019,*
25517,2017,*
25517,2016,*
26743,2020,*
25671,2020,*
25503,2020,*
25503,2019,*
25503,2018,*
25503,2017,*
25865,2020,*
25865,2019,*
25865,2018,*
25865,2017,*
26447,2020,*
26447,2016,*
26337,2020,*
26337,2019,*
25669,2020,*
25669,2019,*
25669,2018,*
25669,2017,*
25669,2016,*
24827,2020,*
24827,2018,*
24827,2017,*
25844,2020,*
25844,2019,*
25844,2017,*
25844,2016,*
26234,2019,*
26234,2018,*
26234,2016,*
25625,2020,*
25625,2018,*
26440,2019,*
26440,2018,*
26440,2017,*
26440,2016,*
25938,2020,*
25938,2019,*
25938,2017,*
25938,2016,*
25124,2020,*
26405,2018,*
26405,2016,*
26055,2020,*
26055,2017,*
26055,2016,*
25067,2020,*
25067,2019,*
25067,2017,*
25652,2017,11
25652,2018,*
25652,2016,*
25202,2020,*
25202,2019,*
25202,2018,*
25202,2017,*
26374,2020,*
24946,2018,*
24946,2017,*
26559,2020,*
26559,2017,*
26559,2016,*
25537,2019,*
25537,2018,*
25537,2017,*
24818,2018,*
24818,2016,*
26257,2018,11
26257,2020,*
26257,2019,*
26257,2017,*
25501,2020,*
25501,2019,*
25501,2017,*
24844,2019,*
24844,2017,*
24844,2016,*
25564,2017,*
25564,2016,*
24941,2020,*
24941,2016,*
26610,2017,*
26610,2016,*
25009,2019,*
25009,2018,*
25235,2018,*
25235,2017,*
25209,2018,*
25209,2017,*
25209,2016,*
25125,2018,*
25125,2016,*
25969,2020,*
25692,2019,*
25969,2019,*
25692,2017,*
24868,2019,11
24868,2018,*
26146,2020,*
26146,2018,*
26146,2017,*
25608,2018,*
25608,2017,*
25035,2018,11
25035,2016,11
25035,2020,*
25035,2019,*
25035,2017,*
25186,2018,*
25186,2017,*
25186,2016,*
26623,2020,*
26623,2019,*
26623,2018,*
26623,2016,*
26681,2016,*
