ZIP,YEAR,AMPUTATIONS
39044,2020,*
39094,2016,0
39094,2017,*
39094,2018,*
39094,2019,*
39094,2020,*
39189,2016,4
39189,2017,*
39189,2018,*
39189,2019,8
39189,2020,*
39327,2016,2
39327,2018,*
39327,2019,*
39327,2020,*
39216,2016,2
39216,2017,*
39216,2019,*
39216,2020,*
38857,2016,4
38857,2017,*
38857,2018,*
38857,2019,*
38650,2016,0
38650,2017,*
38650,2018,*
38650,2019,9
38650,2020,*
38855,2016,4
38855,2017,*
38855,2018,*
38855,2019,*
38855,2020,*
38941,2016,2
38941,2017,*
38941,2018,*
38941,2019,*
38828,2016,1
38828,2018,*
38828,2019,*
38828,2020,*
39041,2016,0
39041,2017,*
39041,2018,*
39041,2019,*
39041,2020,7
36451,2016,1
39175,2016,1
39175,2017,7
39175,2019,6
39175,2020,*
39338,2016,0
39338,2017,*
39338,2018,*
39338,2020,*
39439,2016,0
39439,2017,*
39439,2018,*
39439,2019,*
39439,2020,7
39066,2016,2
39066,2017,*
39066,2018,*
39066,2019,*
39066,2020,7
35582,2016,0
38921,2016,2
38921,2017,*
38921,2018,9
38921,2019,*
38921,2020,*
35563,2016,1
38683,2016,2
38683,2017,8
38683,2018,6
38683,2019,*
38683,2020,7
38865,2016,3
38865,2017,*
38865,2018,*
38865,2019,*
38865,2020,*
39422,2016,1
39422,2017,*
39422,2018,*
39422,2019,*
39422,2020,7
35470,2016,0
35592,2016,0
39645,2016,1
39645,2017,*
39645,2018,*
39645,2019,7
38916,2016,0
38916,2017,*
38916,2018,6
38916,2019,*
38916,2020,6
38826,2017,*
38826,2018,*
38826,2019,*
38826,2020,*
39145,2016,0
39145,2017,*
39145,2018,*
39145,2019,*
39145,2020,*
39119,2016,0
39119,2017,*
39119,2018,*
39119,2019,*
39119,2020,*
39328,2016,2
39328,2017,*
39328,2018,*
39328,2019,8
39328,2020,*
39654,2016,1
39654,2017,6
39654,2018,*
39654,2019,*
39654,2020,*
39069,2016,4
39069,2017,*
39069,2018,*
39069,2019,*
39069,2020,*
39740,2017,*
39740,2018,*
39740,2019,*
39740,2020,*
39150,2016,3
39150,2017,*
39150,2018,*
39150,2019,*
39150,2020,*
39669,2016,0
39669,2017,*
39669,2018,*
39669,2020,*
39474,2016,1
39474,2017,6
39474,2018,*
39474,2019,6
39474,2020,*
38619,2016,0
38619,2017,*
38619,2018,*
38619,2019,*
38619,2020,*
39744,2016,1
39744,2017,*
39744,2018,*
39744,2019,6
39744,2020,*
39345,2016,2
39345,2017,*
39345,2018,*
39345,2019,7
39345,2020,7
39576,2016,3
39576,2017,*
39576,2018,*
39576,2019,*
39576,2020,*
39038,2016,4
39038,2017,*
39038,2018,*
39038,2019,6
39038,2020,7
38676,2016,2
38676,2017,6
38676,2018,*
38676,2019,*
38676,2020,*
38680,2016,1
38680,2017,*
38680,2018,*
38680,2019,*
38680,2020,*
39483,2016,1
39483,2017,6
39483,2018,7
39483,2019,*
39483,2020,*
39479,2016,0
39479,2017,*
39479,2018,*
39479,2019,*
39479,2020,*
39071,2016,2
39071,2017,*
39071,2018,*
39071,2019,*
39071,2020,*
38756,2016,4
38756,2017,7
38756,2018,*
38756,2019,*
38756,2020,6
38860,2016,2
38860,2017,12
38860,2018,8
38860,2019,7
39325,2016,3
39325,2017,8
39325,2018,*
39325,2019,*
39325,2020,*
38868,2016,0
38868,2017,*
38868,2018,*
38868,2019,*
38868,2020,*
39355,2016,0
39355,2017,6
39355,2018,*
39355,2019,6
39355,2020,*
38666,2016,3
38666,2018,7
38666,2019,*
38666,2020,*
39203,2016,1
39203,2017,12
39203,2018,6
39203,2019,6
39203,2020,8
39168,2016,0
39168,2018,*
39168,2019,9
39168,2020,*
38849,2016,0
38849,2017,6
38849,2018,*
38849,2019,*
38849,2020,*
39451,2016,0
39451,2017,*
39451,2018,*
39451,2019,*
39451,2020,*
39341,2016,5
39341,2017,6
39341,2018,*
39341,2019,*
39341,2020,*
39095,2016,7
39095,2017,10
39095,2018,*
39095,2019,10
39095,2020,8
39629,2016,1
39629,2017,*
39629,2018,*
39629,2019,*
39629,2020,6
36784,2016,1
39218,2016,2
39218,2017,*
39218,2018,*
39218,2019,*
39218,2020,*
38858,2016,1
38858,2017,*
38858,2019,*
38858,2020,8
38824,2016,1
38824,2017,*
38824,2018,6
38824,2019,7
38824,2020,*
38967,2016,1
38967,2017,*
38967,2018,*
38967,2019,6
38967,2020,*
39573,2016,3
39573,2017,*
39573,2018,6
39573,2019,7
39573,2020,10
39476,2016,1
39476,2017,*
39476,2018,*
39476,2019,*
39476,2020,*
39365,2016,4
39365,2017,*
39365,2018,9
39365,2019,*
39365,2020,6
36732,2016,1
39232,2016,2
39232,2017,*
39232,2018,*
39232,2019,*
39232,2020,*
38851,2016,5
38851,2017,*
38851,2018,*
38851,2019,*
38851,2020,14
39191,2016,1
39191,2017,*
39191,2018,*
39191,2019,6
39191,2020,*
39202,2016,4
39202,2017,10
39202,2018,10
39202,2019,*
39202,2020,11
39530,2016,3
39530,2017,*
39530,2018,7
39530,2019,*
39530,2020,8
39525,2016,3
39525,2017,*
39525,2018,*
39525,2019,*
39525,2020,*
39652,2016,3
39652,2017,*
39652,2018,*
39652,2019,6
39652,2020,*
38651,2016,1
38651,2017,*
38651,2018,*
38651,2019,*
38651,2020,*
39540,2016,2
39540,2017,10
39540,2018,*
39540,2019,*
39540,2020,*
38965,2016,2
38965,2017,8
38965,2018,*
38965,2019,*
38965,2020,10
38852,2016,4
38852,2017,*
38852,2018,10
38852,2019,10
38852,2020,11
39556,2016,3
39556,2017,*
39556,2018,*
39556,2019,7
39556,2020,7
39111,2016,4
39111,2017,7
39111,2018,9
39111,2019,11
39111,2020,8
35555,2016,1
39083,2016,3
39083,2017,7
39083,2018,*
39083,2019,8
39083,2020,6
39455,2016,1
39455,2017,9
39455,2018,11
39455,2019,*
39455,2020,10
39428,2016,1
39428,2017,*
39428,2018,*
39428,2019,*
39428,2020,*
39154,2016,0
39154,2017,*
39154,2018,*
39154,2019,6
39154,2020,9
39170,2016,1
39170,2017,*
39170,2018,6
39170,2019,*
39170,2020,*
38751,2016,3
38751,2017,*
38751,2018,6
38751,2019,*
38751,2020,9
39114,2016,3
39114,2017,*
39114,2018,8
39114,2019,8
39114,2020,*
39581,2016,0
39581,2017,*
39581,2018,*
39581,2019,*
39581,2020,8
39117,2016,1
39117,2017,*
39117,2018,*
39117,2019,10
39117,2020,7
39666,2016,0
39666,2018,6
39666,2019,*
39666,2020,7
39482,2016,1
39482,2017,6
39482,2018,8
39482,2019,7
39482,2020,*
39577,2016,4
39577,2017,*
39577,2018,8
39577,2019,10
39577,2020,10
35570,2016,2
39567,2016,1
39567,2017,7
39567,2018,10
39567,2019,6
39567,2020,*
38843,2016,3
38843,2017,9
38843,2018,*
38843,2019,10
38843,2020,6
39059,2016,4
39059,2017,*
39059,2018,10
39059,2019,11
39059,2020,*
39730,2016,2
39730,2017,7
39730,2018,12
39730,2019,9
39730,2020,*
36544,2016,0
38866,2016,3
38866,2017,6
38866,2018,*
38866,2019,*
38866,2020,11
39667,2016,3
39667,2017,*
39667,2018,11
39667,2019,13
39667,2020,*
39470,2016,0
39470,2017,*
39470,2018,*
39470,2019,6
39470,2020,*
38618,2016,3
38618,2017,7
38618,2018,8
38618,2019,13
38618,2020,11
38663,2016,6
38663,2017,*
38663,2018,8
38663,2019,*
38663,2020,9
38703,2016,7
38703,2017,10
38703,2018,7
38703,2019,7
38703,2020,12
39090,2016,2
39090,2017,10
39090,2018,7
39090,2019,*
39090,2020,7
39705,2016,4
39705,2017,8
39705,2018,*
39705,2019,*
39705,2020,9
38821,2016,1
38821,2017,8
38821,2018,*
38821,2019,11
38821,2020,16
39272,2016,1
39272,2017,7
39272,2018,7
39272,2019,6
39272,2020,9
39701,2016,6
39701,2017,14
39701,2018,10
39701,2019,12
39701,2020,14
39563,2016,5
39563,2017,15
39563,2018,15
39563,2019,*
39563,2020,10
39574,2016,4
39574,2017,7
39574,2018,7
39574,2019,12
39574,2020,14
39437,2016,2
39437,2017,*
39437,2018,*
39437,2019,6
39437,2020,7
39571,2016,5
39571,2017,9
39571,2018,*
39571,2019,13
39571,2020,*
39475,2016,3
39475,2017,*
39475,2018,8
39475,2019,6
39475,2020,6
39183,2016,7
39183,2017,10
39183,2018,14
39183,2019,11
39183,2020,11
38668,2016,2
38668,2017,*
38668,2018,*
38668,2019,12
38668,2020,10
39339,2016,4
39339,2017,14
39339,2018,12
39339,2019,10
39339,2020,*
38672,2016,1
38672,2018,*
38672,2020,*
39367,2016,11
39367,2017,9
39367,2018,15
